unicode,character,courier normal,courier bold,courier italic,courier bold-italic,helvetica normal,helvetica bold,helvetica italic,helvetica bold-italic,times normal,times bold,times italic,times bold-italic
145,"‘",0.600,0.600,0.600,0.600,0.222,0.278,0.222,0.278,0.333,0.333,0.333,0.333
146,"’",0.600,0.600,0.600,0.600,0.222,0.278,0.222,0.278,0.333,0.333,0.333,0.333
147,"“",0.600,0.600,0.600,0.600,0.333,0.500,0.333,0.500,0.444,0.500,0.556,0.500
148,"”",0.600,0.600,0.600,0.600,0.333,0.500,0.333,0.500,0.444,0.500,0.556,0.500
149,"•",0.600,0.600,0.600,0.600,0.350,0.350,0.350,0.350,0.350,0.350,0.350,0.350
150,"–",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
151,"—",0.600,0.600,0.600,0.600,1.000,1.000,1.000,1.000,1.000,1.000,0.889,1.000
152,"˜",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
153,"™",0.600,0.600,0.600,0.600,1.000,1.000,1.000,1.000,0.980,1.000,0.980,1.000
154,"š",0.600,0.600,0.600,0.600,0.500,0.556,0.500,0.556,0.389,0.389,0.389,0.389
155,"›",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
156,"œ",0.600,0.600,0.600,0.600,0.944,0.944,0.944,0.944,0.722,0.722,0.667,0.722
157,"null",,,,,,,,,,,,
158,"ž",0.600,0.600,0.600,0.600,0.500,0.500,0.500,0.500,0.444,0.444,0.389,0.389
159,"Ÿ",0.600,0.600,0.600,0.600,0.667,0.667,0.667,0.667,0.722,0.722,0.556,0.611
160," ",0.600,0.600,0.600,0.600,0.278,0.278,0.278,0.278,0.250,0.250,0.250,0.250
161,"¡",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.389,0.389
162,"¢",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
163,"£",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
164,"¤",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
165,"¥",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
166,"¦",0.600,0.600,0.600,0.600,0.260,0.280,0.260,0.280,0.200,0.220,0.275,0.220
167,"§",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
168,"¨",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
169,"©",0.600,0.600,0.600,0.600,0.737,0.737,0.737,0.737,0.760,0.747,0.760,0.747
170,"ª",0.600,0.600,0.600,0.600,0.370,0.370,0.370,0.370,0.276,0.300,0.276,0.266
171,"«",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
172,"¬",0.600,0.600,0.600,0.600,0.584,0.584,0.584,0.584,0.564,0.570,0.675,0.606
173,"-",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
174,"®",0.600,0.600,0.600,0.600,0.737,0.737,0.737,0.737,0.760,0.747,0.760,0.747
175,"¯",0.600,0.600,0.600,0.600,0.552,0.552,0.552,0.552,0.500,0.500,0.500,0.500
176,"°",0.600,0.600,0.600,0.600,0.400,0.400,0.400,0.400,0.400,0.400,0.400,0.400
177,"±",0.600,0.600,0.600,0.600,0.549,0.549,0.549,0.549,0.549,0.549,0.549,0.549
178,"²",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.300,0.300,0.300,0.300
179,"³",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.300,0.300,0.300,0.300
180,"´",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
181,"µ",0.600,0.600,0.600,0.600,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576
182,"¶",0.600,0.600,0.600,0.600,0.537,0.556,0.537,0.556,0.453,0.540,0.523,0.500
183,"·",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.250,0.250
184,"¸",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.333,0.333,0.333,0.333
185,"¹",0.600,0.600,0.600,0.600,0.333,0.333,0.333,0.333,0.300,0.300,0.300,0.300
186,"º",0.600,0.600,0.600,0.600,0.365,0.365,0.365,0.365,0.310,0.330,0.310,0.300
187,"»",0.600,0.600,0.600,0.600,0.556,0.556,0.556,0.556,0.500,0.500,0.500,0.500
188,"¼",0.600,0.600,0.600,0.600,0.834,0.834,0.834,0.834,0.750,0.750,0.750,0.750
189,"½",0.600,0.600,0.600,0.600,0.834,0.834,0.834,0.834,0.750,0.750,0.750,0.750
190,"¾",0.600,0.600,0.600,0.600,0.834,0.834,0.834,0.834,0.750,0.750,0.750,0.750
191,"¿",0.600,0.600,0.600,0.600,0.611,0.611,0.611,0.611,0.444,0.500,0.500,0.500
192,"À",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
193,"Á",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
194,"Â",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
195,"Ã",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
196,"Ä",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
197,"Å",0.600,0.600,0.600,0.600,0.667,0.722,0.667,0.722,0.722,0.722,0.611,0.667
